strategy,income_group,target_group,age_target,coverage_children,coverage_middle,coverage_old,pop_2019,proportion,t_start,R0,reduction1,reduction2,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,vaccine_start,vaccine_period,dur_vacc_delay,reduce_inf,seeding_cases,timing1,timing2,deaths_averted_2021,vaccine_n_2021,dapd_2021,total_vaccine_n,total_deaths_averted
strategy1_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,1212261796,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,545194.820164951,134758363.6,0.004045721583435368,850000000,2662074.261037524
strategy1_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2855862789,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,857223.6360085551,317465581.59,0.0027002096785271076,850000000,2662074.261037524
strategy1_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2913363391,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,1008208.8259630665,323857507.05,0.003113124766341792,850000000,2662074.261037524
strategy1_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,664957848,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,251446.97890095136,73918547.76,0.0034016763927418284,850000000,2662074.261037524
strategy2_cov1,HIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,0.8,1212261796,85.6,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,1488125.6916947612,134758363.6,0.011042918984323146,850000000,9480465.968041502
strategy2_cov1,UMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.05,0.8,2855862789,76.2,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,3394892.8131375294,317465581.59,0.010693735037777926,850000000,9480465.968041502
strategy2_cov1,LMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.1,0.8,2913363391,70.5,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,3835470.9403154794,323857507.05,0.011843081777700848,850000000,9480465.968041502
strategy2_cov1,LIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.15,0.8,664957848,59.9,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,761976.5228937326,73918547.76,0.010308326475348663,850000000,9480465.968041502
strategy3_cov1,HIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.12,0.8,1212261796,85.6,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,2629517.237208347,302830559.85,0.008683130389848423,850000000,10057104.820535485
strategy3_cov1,UMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.06,0.8,2855862789,76.2,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,3355224.1400630926,328236664.49,0.010221966352467953,850000000,10057104.820535485
strategy3_cov1,LMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.03,0.8,2913363391,70.5,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,3510509.7270868965,194757051.76,0.01802507121237856,850000000,10057104.820535485
strategy3_cov1,LIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.02,0.8,664957848,59.9,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,561853.716177148,24175723.9,0.023240409201444764,850000000,10057104.820535485
strategy4_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,1212261796,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,3438863.3459200626,850000000,0.004045721583435368,850000000,3438863.3459200626
strategy4_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2855862789,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,0,0,0,850000000,3438863.3459200626
strategy4_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2913363391,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,0,0,0,850000000,3438863.3459200626
strategy4_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,664957848,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,0,0,0,850000000,3438863.3459200626
strategy5_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,1212261796,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,0,0,0,850000000,2691734.2590303905
strategy5_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2855862789,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,0,0,0,850000000,2691734.2590303905
strategy5_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2913363391,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,2154422.0460086586,692044877,0.0031131247663417913,850000000,2691734.2590303905
strategy5_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,664957848,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,537312.2130217318,157955123,0.0034016763927418284,850000000,2691734.2590303905
strategy6_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,1212261796,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,2522541.244068987,623508363.6,0.004045721583435368,1806250000.01,5999249.594015352
strategy6_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2855862789,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,1482106.8765299532,548885847.02,0.0027002096785271076,1806250000.01,5999249.594015352
strategy6_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,2913363391,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,1743154.494515461,559937241.63,0.0031131247663417913,1806250000.01,5999249.594015352
strategy6_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,664957848,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Infection,Present,0.9,365,5000,327,30,7,1,60,60,357,251446.97890095136,73918547.76,0.0034016763927418284,1806250000.01,5999249.594015352
